Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Travelers,"https://www.google.com/search?tbs=lf:1,lf_ui:4&tbm=lcl&sxsrf=APq-WBuxTlTsE5x4krAQsQxZi-7DWVBeLA:1645166115969&q=traveler%27s+coffee&rflfq=1&num=10&rldimm=16565035841036738109#rlfi=hd:;si:15788198885331651773;mv:[[43.24341515488978,76.92169876647533],[43.235583603195245,76.90075607848705]]",9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
Travelers,"ttps://www.google.com/search?tbs=lf:1,lf_ui:4&tbm=lcl&sxsrf=APq-WBuxTlTsE5x4krAQsQxZi-7DWVBeLA:1645166115969&q=traveler%27s+coffee&rflfq=1&num=10&rldimm=16565035841036738109#rlfi=hd:;si:15788198885331651773;mv:[[43.24341515488978,76.92169876647533],[43.235583603195245,76.90075607848705]",9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
Travelers,ttps://goo.gl/maps/uLQFonmL6RMzNdCP,9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
Travelers,https://goo.gl/maps/uLQFonmL6RMzNdCPA,9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
N1,https://goo.gl/maps/uLQFonmL6RMzNdCPA,9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
N2,htttp://www.google.com,8AM,9PM,☕☕☕,💪💪💪💪💪,🔌
N2,htttp://www.google.com,8AM,9PM,☕☕☕,💪💪💪💪💪,🔌
Kolesa,https://kolesa.kz/,9AM,11PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
Dana Coffee,https://www.youtube.com/watch?v=JqZbeMtwthY,9AM,7,☕☕☕,💪💪,✘
